Datum, Rocket
"Fri Aug 07, 2020 05:12",50
"Thu Aug 06, 2020 04:01",29.75
"Tue Aug 04, 2020 23:57",
"Thu Jul 30, 2020 21:25",65
"Thu Jul 30, 2020 11:50",145
"Sat Jul 25, 2020 03:13",64.68
"Thu Jul 23, 2020 14:26",48.5
"Thu Jul 23, 2020 04:41",
"Mon Jul 20, 2020 21:30",50
"Sun Jul 19, 2020 21:58",90
"Wed Jul 15, 2020 13:46",46
"Fri Jul 10, 2020 04:17",28.3
"Thu Jul 09, 2020 12:11",29.15
"Mon Jul 06, 2020 01:00",
"Sat Jul 04, 2020 23:44",29.75
"Sat Jul 04, 2020 21:19",7.5
"Fri Jul 03, 2020 03:10",64.68
"Tue Jun 30, 2020 20:10",50
"Tue Jun 23, 2020 01:43",29.15
"Wed Jun 17, 2020 07:19",29.75
"Sat Jun 13, 2020 09:21",50
"Sat Jun 13, 2020 05:12",7.5
"Wed Jun 10, 2020 18:31",30.8
"Thu Jun 04, 2020 01:25",50
"Sun May 31, 2020 08:53",29.75
"Sat May 30, 2020 19:22",50
"Fri May 29, 2020 20:13",5.3
"Mon May 25, 2020 19:50",12
"Fri May 22, 2020 07:31",
"Wed May 20, 2020 17:31",112.5
"Sun May 17, 2020 13:14",120
"Tue May 12, 2020 01:16",
"Tue May 05, 2020 10:00",
"Sat Apr 25, 2020 01:51",48.5
"Wed Apr 22, 2020 19:30",50
"Wed Apr 22, 2020 03:59",
"Thu Apr 09, 2020 11:46",29.15
"Thu Apr 09, 2020 08:05",48.5
"Thu Mar 26, 2020 20:18",153
"Tue Mar 24, 2020 03:43",30.8
"Sat Mar 21, 2020 17:06",48.5
"Wed Mar 18, 2020 12:16",50
"Mon Mar 16, 2020 18:28",
"Mon Mar 16, 2020 13:34",
"Mon Mar 09, 2020 11:55",29.15
"Sat Mar 07, 2020 04:50",50
"Thu Feb 20, 2020 08:24",48.5
"Wed Feb 19, 2020 21:07",29.75
"Tue Feb 18, 2020 22:18",200
"Mon Feb 17, 2020 15:05",50
"Sat Feb 15, 2020 20:21",85
"Mon Feb 10, 2020 04:03",115
"Sun Feb 09, 2020 15:48",
"Sun Feb 09, 2020 01:34",90
"Thu Feb 06, 2020 21:42",48.5
"Fri Jan 31, 2020 02:56",7.5
"Wed Jan 29, 2020 14:06",50
"Sun Jan 19, 2020 15:30",50
"Thu Jan 16, 2020 21:05",200
"Thu Jan 16, 2020 03:02",
"Wed Jan 15, 2020 02:53",29.75
"Tue Jan 07, 2020 15:20",29.15
"Tue Jan 07, 2020 02:19",50
"Fri Dec 27, 2019 12:45",
"Thu Dec 26, 2019 23:11",41.8
"Tue Dec 24, 2019 12:03",65
"Fri Dec 20, 2019 11:36",
"Fri Dec 20, 2019 03:22",64.68
"Wed Dec 18, 2019 08:54",
"Tue Dec 17, 2019 00:10",50
"Mon Dec 16, 2019 07:22",
"Wed Dec 11, 2019 17:55",
"Wed Dec 11, 2019 09:55",21
"Wed Dec 11, 2019 08:54",48.5
"Sat Dec 07, 2019 08:52",
"Sat Dec 07, 2019 02:55",
"Fri Dec 06, 2019 09:34",48.5
"Fri Dec 06, 2019 08:18",7.5
"Thu Dec 05, 2019 17:29",50
"Wed Nov 27, 2019 23:52",64.68
"Wed Nov 27, 2019 03:58",31
"Tue Nov 26, 2019 21:23",200
"Mon Nov 25, 2019 17:52",
"Sat Nov 23, 2019 00:55",
"Sun Nov 17, 2019 10:00",
"Wed Nov 13, 2019 06:35",
"Wed Nov 13, 2019 03:40",
"Mon Nov 11, 2019 14:56",50
"Mon Nov 04, 2019 17:43",29.15
"Sun Nov 03, 2019 03:22",64.68
"Sat Nov 02, 2019 13:59",85
"Sat Oct 26, 2019 17:40",
"Thu Oct 17, 2019 15:21",29.15
"Thu Oct 17, 2019 01:22",7.5
"Fri Oct 11, 2019 01:59",40
"Wed Oct 09, 2019 10:17",65
"Fri Oct 04, 2019 18:51",64.68
"Thu Sep 26, 2019 07:46",48.5
"Wed Sep 25, 2019 13:57",
"Wed Sep 25, 2019 00:54",29.75
"Tue Sep 24, 2019 16:05",112.5
"Sun Sep 22, 2019 21:10",
"Thu Sep 19, 2019 06:42",5.3
"Thu Sep 12, 2019 03:26",64.68
"Fri Aug 30, 2019 23:41",
"Fri Aug 30, 2019 14:00",41.8
"Thu Aug 29, 2019",
"Thu Aug 22, 2019 13:06",164
"Thu Aug 22, 2019 03:38",48.5
"Mon Aug 19, 2019 12:12",7.5
"Mon Aug 19, 2019 12:03",29.15
"Sat Aug 17, 2019 04:11",7.5
"Thu Aug 08, 2019 10:13",153
"Tue Aug 06, 2019 23:23",50
"Tue Aug 06, 2019 19:30",200
"Mon Aug 05, 2019 21:56",65
"Wed Jul 31, 2019 12:10",48.5
"Tue Jul 30, 2019 05:56",48.5
"Fri Jul 26, 2019 03:57",30.8
"Thu Jul 25, 2019 22:01",50
"Thu Jul 25, 2019 05:00",
"Mon Jul 22, 2019 09:13",62
"Sat Jul 20, 2019 16:28",
"Sat Jul 13, 2019 12:31",65
"Thu Jul 11, 2019 01:53",37
"Wed Jul 10, 2019 17:14",
"Fri Jul 05, 2019 05:41",
"Sat Jun 29, 2019 18:00",
"Sat Jun 29, 2019 04:30",7.5
"Tue Jun 25, 2019 06:30",90
"Mon Jun 24, 2019 18:09",29.15
"Thu Jun 20, 2019 21:43",200
"Wed Jun 12, 2019 14:17",50
"Wed Jun 05, 2019 04:06",5.3
"Thu May 30, 2019 17:42",65
"Mon May 27, 2019 06:23",
"Fri May 24, 2019 02:30",50
"Wed May 22, 2019 22:55",64.68
"Wed May 22, 2019 00:00",21
"Fri May 17, 2019 15:48",
"Sun May 05, 2019 06:00",7.5
"Sat May 04, 2019 06:48",50
"Thu May 02, 2019 13:35",
"Mon Apr 29, 2019 22:52",64.68
"Sat Apr 20, 2019 14:30",29.15
"Wed Apr 17, 2019 20:46",85
"Thu Apr 11, 2019 22:35",90
"Thu Apr 04, 2019 17:04",
"Thu Apr 04, 2019 11:01",48.5
"Mon Apr 01, 2019 03:57",21
"Sun Mar 31, 2019 15:51",29.15
"Thu Mar 28, 2019 23:27",7.5
"Wed Mar 27, 2019 09:39",
"Fri Mar 22, 2019 01:50",37
"Sat Mar 16, 2019 00:26",
"Thu Mar 14, 2019 19:14",
"Sat Mar 09, 2019 16:28",29.15
"Sat Mar 02, 2019 17:45",
"Sat Mar 02, 2019 07:49",50
"Wed Feb 27, 2019 21:37",
"Fri Feb 22, 2019 01:45",50
"Thu Feb 21, 2019 16:47",
"Tue Feb 05, 2019 21:01",200
"Tue Feb 05, 2019",
"Thu Jan 24, 2019 18:07",
"Wed Jan 23, 2019 15:05",
"Mon Jan 21, 2019 05:42",5.3
"Sat Jan 19, 2019 19:10",350
"Fri Jan 18, 2019 00:50",39
"Tue Jan 15, 2019 00:30",
"Fri Jan 11, 2019 15:31",50
"Thu Jan 10, 2019 17:11",29.15
"Sat Dec 29, 2018 08:02",
"Thu Dec 27, 2018 02:07",48.5
"Mon Dec 24, 2018 16:53",
"Sun Dec 23, 2018 13:51",50
"Fri Dec 21, 2018 23:51",5.3
"Fri Dec 21, 2018 00:20",65
"Wed Dec 19, 2018 16:37",
"Wed Dec 19, 2018 10:40",47
"Sun Dec 16, 2018 06:33",7.5
"Fri Dec 07, 2018 18:23",29.15
"Fri Dec 07, 2018 04:12",29.75
"Wed Dec 05, 2018 18:16",50
"Tue Dec 04, 2018 20:37",200
"Mon Dec 03, 2018 18:34",50
"Mon Dec 03, 2018 11:31",
"Fri Nov 30, 2018 02:27",41.8
"Thu Nov 29, 2018 04:27",21
"Wed Nov 21, 2018 01:42",37
"Mon Nov 19, 2018 23:40",29.75
"Sun Nov 18, 2018 18:07",
"Sat Nov 17, 2018 09:01",85
"Fri Nov 16, 2018 18:14",
"Thu Nov 15, 2018 20:46",50
"Wed Nov 14, 2018 11:38",62
"Sun Nov 11, 2018 03:50",7.5
"Wed Nov 07, 2018 00:47",
"Sat Nov 03, 2018 20:17",48.5
"Thu Nov 01, 2018 15:57",29.15
"Mon Oct 29, 2018 04:08",90
"Mon Oct 29, 2018 00:47",30.8
"Sat Oct 27, 2018 08:00",
"Thu Oct 25, 2018 00:15",35
"Wed Oct 24, 2018 22:57",64.68
"Sat Oct 20, 2018 01:45",200
"Wed Oct 17, 2018 04:15",153
"Mon Oct 15, 2018 04:23",
"Thu Oct 11, 2018 08:40",
"Tue Oct 09, 2018 02:43",30.8
"Mon Oct 08, 2018 02:21",50
"Sat Sep 29, 2018 04:13",
"Tue Sep 25, 2018 22:38",200
"Sat Sep 22, 2018 17:52",112.5
"Wed Sep 19, 2018 14:07",
"Sun Sep 16, 2018 16:38",21
"Sat Sep 15, 2018 13:02",
"Mon Sep 10, 2018 04:45",50
"Fri Sep 07, 2018 03:15",30.8
"Sat Aug 25, 2018 18:15",
"Fri Aug 24, 2018 23:52",
"Wed Aug 22, 2018 21:20",37
"Sun Aug 12, 2018 07:31",350
"Tue Aug 07, 2018 05:18",50
"Tue Jul 31, 2018 03:00",64.68
"Sun Jul 29, 2018 01:48",
"Wed Jul 25, 2018 11:39",50
"Wed Jul 25, 2018 11:25",
"Sun Jul 22, 2018 05:50",50
"Wed Jul 18, 2018 15:11",
"Mon Jul 09, 2018 21:51",48.5
"Mon Jul 09, 2018 20:50",69.7
"Mon Jul 09, 2018 03:56",30.8
"Fri Jun 29, 2018 09:42",62
"Wed Jun 27, 2018 03:30",30.8
"Sat Jun 16, 2018 21:30",
"Tue Jun 12, 2018 04:20",90
"Wed Jun 06, 2018 11:12",
"Tue Jun 05, 2018 13:07",69.7
"Mon Jun 04, 2018 04:29",62
"Sat Jun 02, 2018 04:13",29.75
"Tue May 22, 2018 19:47",62
"Mon May 21, 2018 04:44",85
"Sun May 20, 2018 21:28",64.68
"Fri May 11, 2018 20:14",50
"Tue May 08, 2018 18:28",64.68
"Sat May 05, 2018 11:05",109
"Thu May 03, 2018 16:05",29.15
"Sun Apr 29, 2018 17:06",
"Thu Apr 26, 2018 04:42",5.3
"Wed Apr 25, 2018 17:57",41.8
"Wed Apr 18, 2018 22:51",62
"Wed Apr 18, 2018 22:12",65
"Sat Apr 14, 2018 23:13",153
"Wed Apr 11, 2018 22:34",31
"Tue Apr 10, 2018 04:25",64.68
"Thu Apr 05, 2018 21:34",200
"Mon Apr 02, 2018 20:30",62
"Sat Mar 31, 2018 03:22",64.68
"Fri Mar 30, 2018 14:14",62
"Thu Mar 29, 2018 17:50",
"Thu Mar 29, 2018 17:38",
"Thu Mar 29, 2018 11:26",47
"Wed Mar 21, 2018 17:44",
"Sat Mar 17, 2018 07:10",29.75
"Fri Mar 09, 2018 17:10",
"Tue Mar 06, 2018 05:33",62
"Thu Mar 01, 2018 22:02",145
"Tue Feb 27, 2018 04:34",90
"Thu Feb 22, 2018 14:17",62
"Tue Feb 13, 2018 08:13",48.5
"Mon Feb 12, 2018 05:10",
"Tue Feb 06, 2018 20:45",90
"Sat Feb 03, 2018 05:03",
"Fri Feb 02, 2018 07:50",29.75
"Thu Feb 01, 2018 02:07",48.5
"Wed Jan 31, 2018 21:25",62
"Thu Jan 25, 2018 22:20",200
"Thu Jan 25, 2018 05:39",30.8
"Sun Jan 21, 2018 01:43",7.5
"Sat Jan 20, 2018 00:48",115
"Fri Jan 19, 2018 04:12",5.3
"Wed Jan 17, 2018 21:06",39
"Sat Jan 13, 2018 07:20",29.75
"Fri Jan 12, 2018 22:11",
"Fri Jan 12, 2018 03:58",31
"Thu Jan 11, 2018 23:18",
"Tue Jan 09, 2018 03:24",29.75
"Mon Jan 08, 2018 01:00",62
"Tue Dec 26, 2017 19:00",
"Mon Dec 25, 2017 19:44",30.8
"Sat Dec 23, 2017 04:14",29.75
"Sat Dec 23, 2017 01:27",62
"Sat Dec 23, 2017 01:26",90
"Sun Dec 17, 2017 07:21",
"Sun Dec 17, 2017",
"Fri Dec 15, 2017 15:36",62
"Tue Dec 12, 2017 18:36",
"Sun Dec 10, 2017 16:41",29.15
"Sun Dec 03, 2017 04:11",29.75
"Sat Dec 02, 2017 10:43",35
"Tue Nov 28, 2017 05:41",
"Fri Nov 24, 2017 18:10",30.8
"Tue Nov 21, 2017 04:50",
"Sat Nov 18, 2017 09:47",
"Tue Nov 14, 2017 18:35",64.68
"Sun Nov 12, 2017 12:19",85
"Wed Nov 08, 2017 01:42",37
"Sun Nov 05, 2017 11:45",
"Tue Oct 31, 2017 21:37",45
"Mon Oct 30, 2017 19:34",62
"Sun Oct 15, 2017 07:28",123
"Sat Oct 14, 2017 08:46",48.5
"Fri Oct 13, 2017 09:27",41.8
"Wed Oct 11, 2017 22:53",62
"Mon Oct 09, 2017 22:01",90
"Mon Oct 09, 2017 12:37",62
"Mon Oct 09, 2017 04:13",29.75
"Fri Sep 29, 2017 21:56",200
"Fri Sep 29, 2017 04:21",30.8
"Thu Sep 28, 2017 18:52",65
"Sun Sep 24, 2017 05:49",145
"Mon Sep 11, 2017 19:23",65
"Thu Sep 07, 2017 14:00",62
"Thu Aug 31, 2017 13:30",31
"Fri Aug 25, 2017 06:04",46
"Thu Aug 24, 2017 18:51",62
"Tue Aug 22, 2017 00:02",
"Sat Aug 19, 2017 05:29",
"Fri Aug 18, 2017 12:29",109
"Wed Aug 16, 2017 22:07",65
"Mon Aug 14, 2017 16:31",62
"Sat Aug 12, 2017 21:17",
"Wed Aug 02, 2017 01:58",37
"Fri Jul 28, 2017 15:41",
"Thu Jul 27, 2017",
"Fri Jul 14, 2017 06:36",48.5
"Wed Jul 05, 2017 20:25",62
"Sun Jul 02, 2017 11:23",
"Wed Jun 28, 2017 21:15",200
"Sun Jun 25, 2017 20:25",62
"Fri Jun 23, 2017 19:10",62
"Fri Jun 23, 2017 18:04",
"Fri Jun 23, 2017 03:59",31
"Sun Jun 18, 2017 16:12",29.15
"Thu Jun 15, 2017 03:15",64.68
"Wed Jun 14, 2017 09:20",48.5
"Thu Jun 08, 2017 03:45",65
"Mon Jun 05, 2017 11:58",62
"Sat Jun 03, 2017 21:07",62
"Thu Jun 01, 2017 23:45",200
"Thu Jun 01, 2017 00:17",90
"Thu May 25, 2017 06:33",
"Thu May 25, 2017 04:20",7.5
"Thu May 18, 2017 11:54",
"Mon May 15, 2017 23:21",62
